,precision,recall,f1-score,support
claude,0.7307110438729199,0.805,0.7660586835844568,600.0
deepseek,0.8212996389891697,0.7583333333333333,0.7885615251299827,600.0
gemini,0.7886435331230284,0.8333333333333334,0.8103727714748784,600.0
gpt,0.8615384615384616,0.84,0.850632911392405,600.0
human,0.9305816135084428,0.8747795414462081,0.9018181818181819,567.0
accuracy,0.8217054263565892,0.8217054263565892,0.8217054263565892,0.8217054263565892
macro avg,0.8265548582064046,0.8222892416225751,0.8234888146799809,2967.0
weighted avg,0.8253978366610835,0.8217054263565892,0.8226176083720739,2967.0
